2019-01-07 15:26:17,347 |  Habitos - CRM Info |ERROR | Verify that user can able to select Student type
2019-01-07 15:26:17,355 |  Habitos - CRM Info |ERROR | Verify that user can able to select spread type
2019-01-07 15:26:17,359 |  Habitos - CRM Info |ERROR | Verify that user can able to enter the total count
2019-01-07 15:26:17,362 |  Habitos - CRM Info |INFO | Verify that user can able to select the consume time
2019-01-07 15:26:17,365 |  Habitos - CRM Info |INFO | Verify that user can able to select the dispatch time
2019-01-07 15:26:17,373 |  Habitos - CRM Info |INFO | Verify that user can able to select the delivery time
2019-01-07 15:26:17,377 |  Habitos - CRM Info |ERROR | Verify that user can able to select order  type
2019-01-07 15:26:17,917 |  Habitos - CRM Info |INFO | ********** Verify that use can able to login with correct username & incorrect password***********
2019-01-07 15:26:18,129 |  Habitos - View Control |ERROR | if click add button it should redirect to add screen
2019-01-07 15:26:18,131 |  Habitos - View Control |ERROR | if click sumit button the values gets saved and dispalying to index screen
2019-01-07 15:26:18,872 |  Habitos - Individual_Enrollment |ERROR | Verify that if click info it should redirect to crm info index screen 
2019-01-07 15:26:18,876 |  Habitos - Individual_Enrollment |ERROR | if click upload button it should upload the enrolment file
2019-01-07 15:26:19,380 |  Habitos - View Control |ERROR | verify that if click view control menu it should redirect to related screen
2019-01-07 15:26:19,468 |  Habitos - CRM Info |ERROR | Verify that if click info it should redirect to crm info index screen 
2019-01-07 15:26:19,683 |  Habitos - CRM Info |ERROR | Verify that if click add new button it should redirect to add new screen
2019-01-07 15:27:21,876 |  BramHope Website Portal |INFO | browser gets open
2019-01-07 15:27:24,831 |  BramHope Website Portal |INFO | browser gets valid ip address
2019-01-07 15:27:24,832 |  BramHope Website Portal |INFO | ********** Verify that use can able to login with correct username & incorrect password***********
2019-01-07 15:27:24,959 |  BramHope Website Portal |INFO | Verify that if the User Name field is present 
2019-01-07 15:27:24,975 |  BramHope Website Portal |INFO | Verify that if the username fields get autofocus
2019-01-07 15:27:25,118 |  BramHope Website Portal |INFO | Verify that if the Password  field is present 
2019-01-07 15:27:25,128 |  BramHope Website Portal |INFO | Verify that if the password fields get focused
